175.970	128.294	128.231	164.132	134.191
112.768	175.561	172.348	111.816	168.516
102.084	173.801	118.407	152.115	175.847
170.588	180.612	162.611	171.803	174.388
135.787	111.282	171.864	199.806	111.975
133.571	142.721	123.036	190.567	160.664
104.358	118.497	140.073	186.045	105.073
174.535	100.546	153.650	119.584	146.518
145.752	110.961	173.466	131.993	108.017
148.643	180.804	121.487	166.479	131.124
118.015	154.711	126.611	167.842	117.636
101.292	128.031	128.163	103.577	112.890
152.851	117.997	126.673	162.778	178.384
105.568	102.950	110.568	149.928	194.828
164.928	187.121	181.196	102.860	198.104
107.422	112.372	115.915	149.755	184.605
130.403	187.755	199.810	110.192	127.586
115.569	126.561	196.066	175.391	165.882
101.613	185.036	167.757	167.975	129.553
179.851	151.387	113.772	179.468	199.010
102.593	162.081	189.505	128.692	155.377
189.180	102.049	131.408	198.102	106.629
195.647	141.111	191.338	158.846	153.056
115.402	150.485	150.530	118.486	175.644
128.904	121.981	116.964	175.242	0.000
