165.902	108.488	127.474	148.753	156.065	181.655	108.887	166.619	101.676	181.359	175.826
0.000	152.279	196.797	152.280	147.010	141.322	161.589	168.641	116.333	158.951	185.568
0.000	186.385	125.127	195.877	185.988	131.559	109.221	133.291	129.579	153.212	183.444
0.000	133.838	143.155	141.671	161.855	144.986	165.330	111.374	177.568	105.053	176.033
0.000	152.548	134.643	112.844	152.902	144.902	166.360	154.854	128.164	183.459	183.979
0.000	103.976	184.141	100.324	169.793	144.046	175.341	110.818	142.693	109.955	196.363
0.000	113.876	185.760	133.881	102.748	175.425	185.209	132.075	105.606	148.892	154.010
0.000	126.874	105.562	184.224	196.607	175.987	172.050	169.527	104.351	130.477	161.520
0.000	192.155	129.433	142.117	142.870	101.776	135.825	159.826	112.363	123.710	194.450
0.000	126.851	134.950	164.690	194.194	142.151	149.333	160.902	118.936	100.740	179.617
0.000	101.368	156.048	157.178	116.807	161.055	173.284	113.408	109.568	156.880	112.711
0.000	176.248	150.487	157.282	124.416	101.948	145.470	115.092	196.547	197.864	172.392
0.000	111.333	110.106	192.580	159.770	127.402	105.413	169.072	156.701	123.882	105.506
0.000	145.558	112.154	184.739	195.862	148.073	109.830	132.002	172.735	171.422	178.980
0.000	132.860	101.067	177.219	139.693	143.652	117.673	150.761	145.502	114.554	166.273
0.000	155.089	153.493	108.607	197.693	154.430	199.544	136.284	103.256	197.572	183.150
0.000	108.847	179.915	174.573	105.505	145.954	112.417	189.523	141.620	106.847	120.851
0.000	107.554	123.055	157.011	143.459	168.675	110.319	100.312	122.799	116.228	110.776
0.000	191.864	190.855	114.611	113.616	107.512	103.503	190.917	191.529	147.685	106.452
0.000	183.871	117.752	104.349	135.863	143.310	166.007	105.777	167.635	113.196	189.530
0.000	127.165	163.264	178.610	161.127	169.756	137.659	178.441	160.634	162.882	159.551
0.000	185.805	101.032	159.682	129.263	163.055	194.545	167.921	191.417	107.498	150.003
0.000	117.581	108.671	194.217	174.088	157.003	135.518	135.007	170.910	151.414	183.878
0.000	162.654	131.681	137.601	103.917	149.113	120.355	114.616	142.205	135.849	105.959
0.000	101.720	121.899	165.178	158.521	139.512	104.806	119.445	161.095	124.559	198.006
0.000	184.404	142.590	178.754	172.199	152.651	114.279	147.268	103.215	166.482	197.529
0.000	151.130	169.245	146.051	133.772	163.200	199.068	160.399	182.592	194.301	198.210
0.000	165.239	151.726	118.758	114.308	157.075	161.569	128.257	108.428	174.229	137.950
0.000	170.789	154.638	102.287	186.569	160.806	128.120	150.434	111.133	116.748	108.249
0.000	142.011	133.211	187.275	189.230	136.561	117.389	101.258	173.765	112.047	184.551
0.000	121.742	110.691	185.749	182.331	199.769	114.343	117.058	194.132	129.219	158.616
0.000	138.755	144.849	171.374	147.138	120.957	152.595	179.612	166.725	116.060	115.633
0.000	166.724	133.059	176.211	154.030	129.070	172.364	174.816	169.254	113.644	104.793
0.000	193.209	152.518	150.600	130.946	181.716	194.894	178.707	151.229	125.252	149.529
0.000	107.020	186.688	123.578	141.287	122.888	110.772	146.760	159.427	126.411	148.922
0.000	148.082	153.289	143.418	140.631	176.752	114.308	133.284	157.667	114.925	149.559
0.000	138.291	142.706	107.152	101.120	177.615	118.173	100.630	151.384	128.291	159.793
0.000	152.339	102.485	141.435	188.586	154.753	132.246	152.304	164.735	189.409	107.943
0.000	110.889	126.712	108.496	169.951	191.174	174.963	177.011	124.264	128.173	134.446
0.000	127.495	192.158	131.621	149.233	133.205	189.397	128.423	113.651	124.104	161.721
0.000	196.355	100.291	151.768	198.673	186.388	196.050	104.528	126.546	162.564	166.754
0.000	104.446	181.408	183.911	155.906	151.771	195.523	113.925	194.428	160.677	113.919
0.000	131.258	135.461	175.393	169.707	144.701	143.097	177.191	126.593	125.537	151.963
0.000	158.550	103.049	116.186	153.675	138.532	194.970	152.792	155.881	134.677	145.120
0.000	147.062	172.042	126.663	172.101	107.096	192.139	174.298	185.321	197.772	172.210
0.000	108.204	147.290	165.498	143.147	112.692	155.262	122.965	197.156	116.998	180.416
0.000	174.690	140.206	115.651	142.680	187.563	156.952	139.352	192.323	175.665	170.083
0.000	178.134	106.028	172.322	183.564	138.292	115.421	105.586	126.759	130.709	144.598
0.000	132.322	167.567	194.935	163.114	165.227	135.950	119.017	130.865	193.412	100.739
0.000	0.000	0.000	100.599	114.607	121.068	188.776	132.251	114.787	189.485	157.751
